,updateDate,code,code_name
0,2023-03-20,sh.600010,包钢股份
1,2023-03-20,sh.600028,中国石化
2,2023-03-20,sh.600030,中信证券
3,2023-03-20,sh.600031,三一重工
4,2023-03-20,sh.600036,招商银行
5,2023-03-20,sh.600048,保利发展
6,2023-03-20,sh.600104,上汽集团
7,2023-03-20,sh.600111,北方稀土
8,2023-03-20,sh.600196,复星医药
9,2023-03-20,sh.600276,恒瑞医药
10,2023-03-20,sh.600309,万华化学
11,2023-03-20,sh.600346,恒力石化
12,2023-03-20,sh.600406,国电南瑞
13,2023-03-20,sh.600436,片仔癀
14,2023-03-20,sh.600438,通威股份
15,2023-03-20,sh.600519,贵州茅台
16,2023-03-20,sh.600585,海螺水泥
17,2023-03-20,sh.600690,海尔智家
18,2023-03-20,sh.600745,闻泰科技
19,2023-03-20,sh.600809,山西汾酒
20,2023-03-20,sh.600887,伊利股份
21,2023-03-20,sh.600893,航发动力
22,2023-03-20,sh.600900,长江电力
23,2023-03-20,sh.600905,三峡能源
24,2023-03-20,sh.601012,隆基绿能
25,2023-03-20,sh.601066,中信建投
26,2023-03-20,sh.601088,中国神华
27,2023-03-20,sh.601166,兴业银行
28,2023-03-20,sh.601225,陕西煤业
29,2023-03-20,sh.601288,农业银行
30,2023-03-20,sh.601318,中国平安
31,2023-03-20,sh.601398,工商银行
32,2023-03-20,sh.601601,中国太保
33,2023-03-20,sh.601628,中国人寿
34,2023-03-20,sh.601633,长城汽车
35,2023-03-20,sh.601668,中国建筑
36,2023-03-20,sh.601669,中国电建
37,2023-03-20,sh.601688,华泰证券
38,2023-03-20,sh.601857,中国石油
39,2023-03-20,sh.601888,中国中免
40,2023-03-20,sh.601899,紫金矿业
41,2023-03-20,sh.601919,中远海控
42,2023-03-20,sh.601995,中金公司
43,2023-03-20,sh.603259,药明康德
44,2023-03-20,sh.603260,合盛硅业
45,2023-03-20,sh.603288,海天味业
46,2023-03-20,sh.603501,韦尔股份
47,2023-03-20,sh.603799,华友钴业
48,2023-03-20,sh.603986,兆易创新
49,2023-03-20,sh.688599,天合光能
